file_name,row,column,layer,ratio
R9.14.2000.jpeg,948,666,3,1.423423423
R6.41.2007.jpeg,1500,1000,3,1.5
R8.4.1997.jpeg,1500,1000,3,1.5
R1.20.2007.jpeg,750,500,3,1.5
R0.24.2016.jpeg,3000,2000,3,1.5
R4.21.2007.jpeg,2400,1600,3,1.5
R2.80.2016.jpeg,1500,1000,3,1.5
R1.57.2015.jpeg,1500,1000,3,1.5
R0.43.2016.jpeg,1112,741,3,1.500674764
R9.4.2007.jpeg,1500,1000,3,1.5
R7.5.2000.jpeg,909,500,3,1.818
R7.55.2015.jpeg,3000,2000,3,1.5
R6.22.2003.jpeg,1200,800,3,1.5
R3.117.2016.jpeg,900,600,3,1.5
R7.43.2008.jpeg,804,550,3,1.461818182
R7.28.2016.jpeg,3000,2000,3,1.5
R7.17.2009.jpeg,1500,1000,3,1.5
R2.9.2002.jpeg,1200,780,3,1.538461538
R2.7.2015.jpeg,2881,1980,3,1.455050505
R2.27.2016.jpeg,1426,1000,3,1.426
R3.6.1999.jpeg,900,594,3,1.515151515
R4.3.2015.jpeg,3000,2000,3,1.5
R0.4.2017.jpeg,991,695,3,1.425899281
R0.41.2008.jpeg,1200,800,3,1.5
R8.35.2008.jpeg,1500,1000,3,1.5
R8.4.1998.jpeg,896,580,3,1.544827586
R7.7.2000.jpeg,1500,1000,3,1.5
R5.2.2005.jpeg,1500,1000,3,1.5
R5.14.2008.jpeg,1500,1000,3,1.5
R0.10.2000.jpeg,938,666,3,1.408408408
R6.42.2017.jpeg,2500,1666,3,1.50060024
R7.13.1999.jpeg,1500,1000,3,1.5
R1.112.2016.jpeg,1036,692,3,1.497109827
R1.23.2017.jpeg,3000,2000,3,1.5
R7.3.2012.jpeg,2100,1400,3,1.5
R7.2.2014.jpeg,2100,1400,3,1.5
R3.23.2016.jpeg,2048,1433,3,1.429169574
R8.22.2010.jpeg,1500,1000,3,1.5
R6.2.2010.jpeg,1500,1000,3,1.5
R4.2.2007.jpeg,2250,1500,3,1.5
